step,episode,reward,loss,duration
896,1,-21.0,0.016882352880202234,2.6041574478149414
1792,2,-19.0,-0.0013781642774119973,2.103635311126709
2688,3,-21.0,-0.009942777920514345,2.1721444129943848
3456,4,-20.0,-0.006060527288354933,1.791712999343872
4224,5,-21.0,0.00455379206687212,1.801917314529419
4992,6,-21.0,0.013220691762398928,1.9463794231414795
6016,7,-19.0,-0.00566328945569694,2.583185911178589
6912,8,-20.0,-0.009331831242889166,2.1883721351623535
7680,9,-20.0,-0.011969661107286811,2.18133807182312
8576,10,-20.0,-6.158440373837948e-05,2.9356887340545654
9472,11,-20.0,0.007920031785033643,2.5402235984802246
10368,12,-21.0,0.001916256151162088,3.003016948699951
11392,13,-21.0,-0.0015948154032230377,3.0751748085021973
12544,14,-21.0,0.001834694528952241,2.8430392742156982
13312,15,-20.0,-0.015172952436842024,1.8626327514648438
14080,16,-21.0,0.0034271469339728355,1.8660533428192139
14976,17,-21.0,-0.0038032447919249535,2.363229751586914
15872,18,-20.0,0.00203240429982543,2.2539024353027344
16640,19,-21.0,-0.011857444245833904,1.7874488830566406
17536,20,-20.0,0.004283059504814446,2.351163387298584
18432,21,-20.0,0.000906044733710587,2.1423113346099854
19328,22,-21.0,0.0077857510186731815,2.138202667236328
20096,23,-21.0,-0.00047441304195672274,2.0599026679992676
21248,24,-19.0,0.005019358126446605,2.9764060974121094
22016,25,-21.0,-0.0020791959250345826,1.892465353012085
22784,26,-21.0,-0.023246877593919635,1.9376764297485352
23552,27,-21.0,-0.002994646900333464,1.9878928661346436
24448,28,-21.0,0.0037779517006129026,2.410902261734009
25344,29,-20.0,0.007403983385302126,2.2483761310577393
26368,30,-21.0,-0.0008883000118657947,2.4303388595581055
27136,31,-21.0,-0.0027855667285621166,1.8643548488616943
27904,32,-21.0,-0.0021764462580904365,1.8152635097503662
28672,33,-21.0,0.0001089824945665896,1.7644712924957275
29440,34,-21.0,0.003807008033618331,1.7061975002288818
30208,35,-21.0,-0.00386049784719944,1.9513511657714844
30976,36,-21.0,0.0016277545364573598,1.7815613746643066
31872,37,-20.0,0.00579390290658921,2.0013198852539062
32640,38,-21.0,0.0038553817430511117,1.7651209831237793
33536,39,-21.0,0.005537347751669586,1.8963556289672852
34304,40,-21.0,0.00043240690138190985,1.9008846282958984
35072,41,-21.0,0.002252302598208189,1.966092824935913
35968,42,-21.0,0.004055820521898568,2.29398512840271
36992,43,-19.0,0.007486062357202172,2.6056463718414307
37760,44,-21.0,0.0032674939138814807,1.8193163871765137
38528,45,-21.0,-0.004451925866305828,1.892526626586914
39296,46,-21.0,-0.007632499793544412,1.7588520050048828
40064,47,-21.0,0.005913875764235854,1.7819795608520508
40832,48,-21.0,0.003707915893755853,1.7404849529266357
41600,49,-21.0,0.007743989990558475,1.7118396759033203
42368,50,-21.0,-0.004186740377917886,1.9068832397460938
43136,51,-21.0,0.0003395109670236707,1.7250995635986328
43904,52,-20.0,0.0030164325144141912,1.7905561923980713
