step,episode,reward,epsilon,loss,duration
936,1,-19.0,0.9814672,0.0,1.6167192459106445
1753,2,-21.0,0.9652906,0.0,0.639812707901001
2815,3,-20.0,0.944263,0.0,0.9263992309570312
3818,4,-20.0,0.9244036,0.0,0.8611490726470947
4790,5,-21.0,0.905158,0.0,0.9609107971191406
5706,6,-20.0,0.8870212,0.020804447168343773,2.423001527786255
6468,7,-21.0,0.8719336,0.02113459927596899,1.7970619201660156
7226,8,-21.0,0.8569252,0.027048686285818576,2.2603330612182617
8127,9,-20.0,0.8390854,0.02409444545266322,2.206817150115967
9099,10,-21.0,0.8198398,0.024160928315906535,2.3949458599090576
10092,11,-19.0,0.8001784000000001,0.0251732941974753,2.587689161300659
10911,12,-21.0,0.7839621999999999,0.020028379102929168,2.0782153606414795
11846,13,-19.0,0.7654492,0.02497174328313215,2.392177104949951
12636,14,-21.0,0.7498072,0.02509793475315985,1.949841022491455
13698,15,-20.0,0.7287796,0.022552260486328073,2.9548120498657227
14607,16,-21.0,0.7107814,0.026589588599527227,2.257503032684326
15587,17,-19.0,0.6913773999999999,0.023608271642178248,2.446228504180908
16425,18,-20.0,0.674785,0.021088598491111214,2.2325704097747803
17189,19,-21.0,0.6596578,0.022064710244218237,1.9208505153656006
18065,20,-20.0,0.6423129999999999,0.01631618436911254,2.4116697311401367
19056,21,-19.0,0.6226912,0.017996524896936476,2.522688865661621
19962,22,-21.0,0.6047524,0.013811714232505703,2.3996524810791016
20808,23,-21.0,0.5880016,0.01571155289714642,2.1823856830596924
21689,24,-21.0,0.5705578,0.01310895019533663,2.2303307056427
22608,25,-20.0,0.5523616,0.013907992315944284,2.465388059616089
23428,26,-21.0,0.5361256000000001,0.011240807036505785,2.3020942211151123
24331,27,-21.0,0.5182462,0.011819178550245448,2.3600502014160156
25287,28,-19.0,0.4993174,0.010344252543169303,2.7422842979431152
26157,29,-20.0,0.48209139999999995,0.009104959882204122,2.263629913330078
27056,30,-20.0,0.4642912,0.010063778046622044,2.4214446544647217
27907,31,-21.0,0.4474414,0.00821677654435779,2.5855114459991455
28831,32,-20.0,0.42914620000000003,0.009209879352741378,2.4328267574310303
29594,33,-21.0,0.41403880000000004,0.008632939445105972,2.072645664215088
30427,34,-21.0,0.39754540000000005,0.008492070563079324,2.2409141063690186
31287,35,-21.0,0.3805174,0.00864890901748156,2.3101539611816406
