step,episode,reward,epsilon,loss,duration
101924,118,-21.0,0.01,0.00562223073280465,1.8393182754516602
102707,119,-21.0,0.01,0.005700247441657269,1.921048641204834
103749,120,-18.0,0.01,0.005740515798307113,2.5555636882781982
104625,121,-20.0,0.01,0.005396224223991609,2.091616153717041
105526,122,-21.0,0.01,0.004473031020930244,2.2613940238952637
106344,123,-21.0,0.01,0.005166075795480027,1.9475369453430176
107182,124,-21.0,0.01,0.0052358431490383255,1.9461560249328613
107944,125,-21.0,0.01,0.0048327405750507695,2.1025097370147705
108919,126,-19.0,0.01,0.004784787401658532,2.5101335048675537
109889,127,-19.0,0.01,0.004605754548080127,2.432074546813965
110668,128,-21.0,0.01,0.0053954674683224695,2.070647954940796
111692,129,-19.0,0.01,0.0047118174099978205,2.60075306892395
112617,130,-20.0,0.01,0.004735527810332208,2.1638357639312744
113642,131,-19.0,0.01,0.004684064283537737,2.316460132598877
114632,132,-19.0,0.01,0.004309036681661382,2.3010215759277344
115534,133,-20.0,0.01,0.004692655517978386,1.9594476222991943
116400,134,-21.0,0.01,0.004398123628067171,1.944718837738037
117241,135,-21.0,0.01,0.00506392871888931,1.9066205024719238
118077,136,-21.0,0.01,0.004676970295077769,1.8993401527404785
118956,137,-21.0,0.01,0.005705015849195082,1.925647258758545
120032,138,-20.0,0.01,0.004407547244440321,2.5517587661743164
121096,139,-19.0,0.01,0.004738086629947787,2.4095029830932617
121936,140,-21.0,0.01,0.0049146548079858935,1.9493660926818848
122714,141,-21.0,0.01,0.004895750412203794,1.762279748916626
123500,142,-21.0,0.01,0.005108877812892785,1.883047342300415
124288,143,-21.0,0.01,0.004191978217627342,1.7653300762176514
125185,144,-21.0,0.01,0.004865630963260108,2.0571043491363525
125991,145,-21.0,0.01,0.004469148311370159,1.8679721355438232
126812,146,-21.0,0.01,0.005152403009384057,1.8469569683074951
127592,147,-21.0,0.01,0.005954019216378816,1.6888623237609863
128494,148,-20.0,0.01,0.0046999473486923505,1.9519169330596924
129335,149,-20.0,0.01,0.004407580146410813,1.8754017353057861
130189,150,-20.0,0.01,0.00464366450546762,1.8112397193908691
131095,151,-21.0,0.01,0.005000531725457713,1.9677541255950928
131927,152,-20.0,0.01,0.004996581490559038,1.9315800666809082
132872,153,-20.0,0.01,0.005554717319490946,2.2073652744293213
133836,154,-19.0,0.01,0.004943360775975797,2.1221530437469482
134626,155,-21.0,0.01,0.005338240958523327,1.7077641487121582
135414,156,-21.0,0.01,0.004719029950110365,1.802743911743164
136299,157,-21.0,0.01,0.004805740813421279,2.1148905754089355
137133,158,-20.0,0.01,0.005421383962543173,2.013007879257202
137974,159,-20.0,0.01,0.0046160165608550114,2.222609281539917
138754,160,-21.0,0.01,0.005401805220828511,2.105273485183716
139726,161,-20.0,0.01,0.005509813472584518,2.151062488555908
140574,162,-21.0,0.01,0.005313384183572675,2.0284459590911865
141357,163,-21.0,0.01,0.005452116812360758,1.7922582626342773
142137,164,-21.0,0.01,0.0055831033342446275,1.7865488529205322
142976,165,-21.0,0.01,0.005604129042088364,1.9358620643615723
143894,166,-20.0,0.01,0.00494507643674789,2.1750869750976562
144789,167,-21.0,0.01,0.005132998418308229,2.1201889514923096
145671,168,-21.0,0.01,0.00548371471866796,2.042930841445923
146450,169,-21.0,0.01,0.005250458473053116,1.7804296016693115
147371,170,-20.0,0.01,0.0045889921423108515,2.137814521789551
148148,171,-21.0,0.01,0.004499109624288021,1.8753182888031006
148999,172,-21.0,0.01,0.004489593789089067,1.9024946689605713
149890,173,-20.0,0.01,0.004466894041483746,2.0800464153289795
150891,174,-19.0,0.01,0.004768788340501488,2.3471505641937256
